旧等级ID,旧等级名称,对应组别ID,对应组别名称,对应新服务等级ID,对应新服务等级名称,对应新服务人返利系数
1583679,艺金融_资金渠道_普通员工-03,139,艺金融_资金渠道_普通员工,6,06,0.75
1583680,艺金融_资金渠道_普通员工-04,139,艺金融_资金渠道_普通员工,8,08,1
1583681,艺金融_资金渠道_外部菁英（兼职）-01,140,艺金融_资金渠道_外部菁英（兼职）,2,02,0.1
1583682,艺金融_资金渠道_外部菁英（兼职）-02,140,艺金融_资金渠道_外部菁英（兼职）,4,04,0.25
1583683,艺金融_资金渠道_外部菁英（兼职）-03,140,艺金融_资金渠道_外部菁英（兼职）,5,05,0.5
1583684,艺金融_资金渠道_外部菁英（兼职）-04,140,艺金融_资金渠道_外部菁英（兼职）,6,06,0.75
1583685,艺金融_资金渠道_外部渠道-01,141,艺金融_资金渠道_外部渠道,2,02,0.1
1583686,艺金融_资金渠道_外部渠道-02,141,艺金融_资金渠道_外部渠道,4,04,0.25
1583687,艺金融_资金渠道_外部渠道-03,141,艺金融_资金渠道_外部渠道,5,05,0.5
1583688,艺金融_资金渠道_外部渠道-04,141,艺金融_资金渠道_外部渠道,6,06,0.75
1583689,艺金融_资金渠道_外部渠道-05,141,艺金融_资金渠道_外部渠道,1,01,0
1583690,盈华财富_资金渠道_外部菁英-01,142,盈华财富_资金渠道_外部菁英,2,02,0.1
1583691,盈华财富_资金渠道_外部菁英-02,142,盈华财富_资金渠道_外部菁英,4,04,0.25
1583692,盈华财富_资金渠道_外部菁英-03,142,盈华财富_资金渠道_外部菁英,5,05,0.5
1583693,盈华财富_资金渠道_外部菁英-04,142,盈华财富_资金渠道_外部菁英,6,06,0.75
1583694,盈华财富_资金渠道_外部菁英-05,142,盈华财富_资金渠道_外部菁英,8,08,1
1583695,联合兑换_资金渠道_普通员工-01,143,联合兑换_资金渠道_普通员工,4,04,0.25
1583696,联合兑换_资金渠道_普通员工-02,143,联合兑换_资金渠道_普通员工,5,05,0.5
1583697,联合兑换_资金渠道_普通员工-03,143,联合兑换_资金渠道_普通员工,6,06,0.75
1583698,联合兑换_资金渠道_普通员工-04,143,联合兑换_资金渠道_普通员工,8,08,1
1583699,联合兑换_资金渠道_内部专职-01,14,联合兑换_资金渠道_内部专职,4,04,0.25
1583700,联合兑换_资金渠道_内部专职-02,14,联合兑换_资金渠道_内部专职,5,05,0.5
1583701,联合兑换_资金渠道_内部专职-03,14,联合兑换_资金渠道_内部专职,6,06,0.75
1583702,联合财富_资金渠道_内部专职（内部专职）-01,12,联合财富_资金渠道_内部专职（内部专职）,4,04,0.25
1583703,联合财富_资金渠道_内部专职（内部专职）-02,12,联合财富_资金渠道_内部专职（内部专职）,5,05,0.5
1583704,联合财富_资金渠道_内部专职（内部专职）-03,12,联合财富_资金渠道_内部专职（内部专职）,6,06,0.75
1583705,联合财富_资金渠道_外部菁英（拟入职专职）-01,146,联合财富_资金渠道_外部菁英（拟入职专职）,8,08,1
1690429,弘达北方_大连贷_资金渠道_外部菁英-05,148,弘达北方_大连贷_资金渠道_外部菁英,8,08,1
1781121,弘达北方_沈阳贷_资金渠道_普通员工-04,149,弘达北方_沈阳贷_资金渠道_普通员工,8,08,1
1781122,典当联盟_资金渠道_外部菁英-05,152,典当联盟_资金渠道_外部菁英,8,08,1
1781123,荣信汇_资金渠道_普通员工-04,153,荣信汇_资金渠道_普通员工,8,08,1
1781124,荣信汇_资金渠道_外部菁英-05,154,荣信汇_资金渠道_外部菁英,8,08,1
1781125,村银贷_资金渠道_外部菁英（终止合作）-05,156,村银贷_资金渠道_外部菁英（终止合作）,8,08,1
1781126,东莞贷_资金渠道_外部菁英（终止合作）-05,158,东莞贷_资金渠道_外部菁英（终止合作）,8,08,1
1781127,网信白泽_资金渠道_外部渠道（沈阳-存量）-26,160,网信白泽_资金渠道_外部渠道（沈阳-存量）,1,01,0
1914243,商户通_平台_分站客户-01,161,商户通_平台_分站客户,2,02,0.1
1914244,商户通_资金渠道_普通员工-01,162,商户通_资金渠道_普通员工,4,04,0.25
1914245,商户通_资金渠道_普通员工-02,162,商户通_资金渠道_普通员工,5,05,0.5
1914246,商户通_资金渠道_普通员工-03,162,商户通_资金渠道_普通员工,6,06,0.75
1914247,商户通_资金渠道_普通员工-04,162,商户通_资金渠道_普通员工,8,08,1
1914248,商户通_资金渠道_内部专职-01,163,商户通_资金渠道_内部专职,4,04,0.25
1914249,商户通_资金渠道_内部专职-02,163,商户通_资金渠道_内部专职,5,05,0.5
