旧等级ID,旧等级名称,对应组别ID,对应组别名称,对应新服务等级ID,对应新服务等级名称,对应新服务人返利系数
1991554,荣信汇_资金渠道_外部菁英-04,154,荣信汇_资金渠道_外部菁英,6,06,0.75
1991555,荣信汇_资金渠道_外部渠道-01,176,荣信汇_资金渠道_外部渠道,2,02,0.1
1992067,荣信汇_资金渠道_外部渠道-02,176,荣信汇_资金渠道_外部渠道,4,04,0.25
1992068,荣信汇_资金渠道_外部渠道-03,176,荣信汇_资金渠道_外部渠道,5,05,0.5
1992069,荣信汇_资金渠道_外部渠道-04,176,荣信汇_资金渠道_外部渠道,6,06,0.75
1992070,荣信汇_资金渠道_外部渠道-05,176,荣信汇_资金渠道_外部渠道,8,08,1
2005605,村银贷_资金渠道_普通员工（终止合作）-02,155,村银贷_资金渠道_普通员工（终止合作）,5,05,0.5
2008161,村银贷_资金渠道_普通员工（终止合作）-03,155,村银贷_资金渠道_普通员工（终止合作）,6,06,0.75
2008162,村银贷_资金渠道_内部专职（终止合作）-01,87,村银贷_资金渠道_内部专职（终止合作）,4,04,0.25
2008674,村银贷_资金渠道_内部专职（终止合作）-02,87,村银贷_资金渠道_内部专职（终止合作）,5,05,0.5
2008675,村银贷_资金渠道_内部专职（终止合作）-03,87,村银贷_资金渠道_内部专职（终止合作）,6,06,0.75
2008676,村银贷_资金渠道_外部菁英（终止合作）-01,156,村银贷_资金渠道_外部菁英（终止合作）,2,02,0.1
2008677,村银贷_资金渠道_外部菁英（终止合作）-02,156,村银贷_资金渠道_外部菁英（终止合作）,4,04,0.25
2008678,村银贷_资金渠道_外部菁英（终止合作）-03,156,村银贷_资金渠道_外部菁英（终止合作）,5,05,0.5
2008679,村银贷_资金渠道_外部菁英（终止合作）-04,156,村银贷_资金渠道_外部菁英（终止合作）,6,06,0.75
2008680,村银贷_资金渠道_外部渠道（终止合作）-01,177,村银贷_资金渠道_外部渠道（终止合作）,2,02,0.1
2008681,村银贷_资金渠道_外部渠道（终止合作）-02,177,村银贷_资金渠道_外部渠道（终止合作）,4,04,0.25
