借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
供应链A007377452,100638412,7356,500.00,18.5
供应链A007377452,101162689,16231,500.00,18.5
供应链A007377452,100642089,17849,500.00,18.5
供应链A007377452,101117242,35045,500.00,18.5
供应链A007377452,101162869,49268,500.00,18.5
供应链A007377452,100639276,151963,500.00,18.5
供应链A007377452,101098846,661921,500.00,18.5
供应链A007377452,101130998,972178,500.00,18.5
供应链A007377452,100637169,990857,500.00,18.5
供应链A007377452,100644135,1422576,500.00,18.5
供应链A007377452,101107630,1426266,500.00,18.5
供应链A007377452,100644616,1454881,500.00,18.5
供应链A007377452,100638419,1952278,500.00,18.5
供应链A007377452,100641787,2314295,500.00,18.5
供应链A007377452,100638576,2425776,500.00,18.5
供应链A007377452,100644042,2427859,500.00,18.5
供应链A007377452,101096817,2581663,500.00,18.5
供应链A007377452,100638449,2862696,500.00,18.5
供应链A007377452,101109325,2940434,500.00,18.5
供应链A007377452,100645626,2991066,500.00,18.5
供应链A007377452,100638868,3121636,500.00,18.5
供应链A007377452,101120578,3223832,500.00,18.5
供应链A007377452,100637037,3504490,500.00,18.5
供应链A007377452,101171510,3608415,500.00,18.5
供应链A007377452,101121074,3669599,500.00,18.5
供应链A007377452,100639084,3729244,500.00,18.5
供应链A007377452,101167329,3850479,500.00,18.5
供应链A007377452,100638454,3942122,500.00,18.5
供应链A007377452,101144900,3971888,500.00,18.5
供应链A007377452,101158934,4281244,500.00,18.5
供应链A007377452,100642154,4348041,500.00,18.5
供应链A007377452,101111206,4432967,500.00,18.5
供应链A007377452,101111211,4433875,500.00,18.5
供应链A007377452,100641649,4566639,500.00,18.5
供应链A007377452,101122414,4700035,500.00,18.5
供应链A007377452,101147329,4720116,500.00,18.5
供应链A007377452,101140361,4909991,500.00,18.5
供应链A007377452,101105694,5051771,500.00,18.5
供应链A007377452,101140703,5412068,500.00,18.5
供应链A007377452,101122995,5801169,500.00,18.5
供应链A007377452,101106060,5816723,500.00,18.5
供应链A007377452,100642027,5844190,500.00,18.5
供应链A007377452,101159735,5910169,500.00,18.5
供应链A007377452,100641752,6138644,500.00,18.5
供应链A007377452,101098962,6154858,500.00,18.5
供应链A007377452,101141460,6360112,500.00,18.5
供应链A007377452,101118805,6387353,500.00,18.5
供应链A007377452,101160106,6567491,100.00,3.7
供应链A007377452,101160107,6567491,100.00,3.7
供应链A007377452,101160108,6567491,100.00,3.7
供应链A007377452,101160109,6567491,100.00,3.7
供应链A007377452,101160110,6567491,100.00,3.7
供应链A007377452,101112893,6627433,500.00,18.5
供应链A007377452,100637061,6949653,500.00,18.5
供应链A007377452,101142179,7055254,500.00,18.5
供应链A007377452,101119728,7056329,500.00,18.5
供应链A007377452,101124256,7115718,500.00,18.5
供应链A007377452,100638905,7486393,500.00,18.5
供应链A007377452,101132859,7876655,500.00,18.5
供应链A007377452,100639561,7994879,500.00,18.5
供应链A007377452,101138757,8073717,500.00,18.5
供应链A007377452,101109742,8538061,500.00,18.5
供应链A007377452,100639475,8755428,500.00,18.5
供应链A007377452,101103567,8761104,500.00,18.5
供应链A007377452,101127594,9480587,500.00,18.5
供应链A007377452,100641858,9540401,500.00,18.5
供应链A007377452,101147389,9840206,500.00,18.5
供应链A007377452,101123568,9854554,500.00,18.5
供应链A007377452,101118548,10407763,500.00,18.5
供应链A007377452,101098344,11257862,500.00,18.5
供应链A007377452,100639190,11347579,500.00,18.5
供应链A007377452,100644747,11415647,500.00,18.5
供应链A007377452,101115340,11673418,500.00,18.5
供应链A007377452,101152569,11737474,500.00,18.5
供应链A007377452,100643905,11758806,500.00,18.5
供应链A007377452,101116323,11810890,500.00,18.5
供应链A007377452,101123483,11937077,500.00,18.5
