借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A005428542,72914452,10281062,50.47,0.48
消费贷A007373022,100376082,10281062,1419.92,26.71
消费贷A007373542,100398483,2629598,505.69,7.17
消费贷A007373522,100399462,2629598,226.05,3.19
消费贷A007382738,100896365,12084321,3291.78,70.27
消费贷A004263245,71059469,2600961,55.77,1.05
消费贷A004263247,71059475,2600961,26.95,0.5
消费贷A005524978,73814022,2600961,889.31,53.82
消费贷A007342415,99092098,2600961,322.70,2.55
消费贷A007383988,100984342,2600961,187.29,5.65
消费贷A007370350,100241543,665130,487.57,6.91
消费贷A004377927,71233611,174178,1378.79,26.5
消费贷A004934223,71958588,174178,183.49,4.51
消费贷A005071775,72148098,174178,717.46,17.72
消费贷A007373789,100415557,11954119,621.01,14.02
消费贷A005427457,72905690,11147515,1760.57,59.52
消费贷A005414285,72808552,4810,92.90,0.88
消费贷A005437709,73016838,4810,2281.88,88.29
消费贷A007372528,100346538,5819919,1351.78,25.44
消费贷A005460484,73211248,8654281,3558.94,44.54
消费贷A005466411,73252568,8654281,1633.74,35.87
消费贷A005466411,73252573,8654281,653.10,14.33
消费贷A005468116,73264275,8654281,39.54,1.75
消费贷A007361555,99836339,2040742,33.86,0.37
消费贷A007370320,100241700,2040742,50.55,0.7
消费贷A007370539,100255294,2040742,50.55,0.7
消费贷A007372174,100329602,2040742,50.55,0.7
消费贷A007374182,100434361,2040742,16.99,0.12
消费贷A007376160,100547393,2040742,67.15,1.17
消费贷A007376391,100557283,2040742,67.15,1.17
消费贷A007377164,100602798,2040742,67.15,1.17
消费贷A007377596,100631154,2040742,16.99,0.12
消费贷A007377819,100640543,2040742,67.15,1.17
消费贷A007379653,100750018,2040742,16.99,0.12
消费贷A007382311,100881788,2040742,50.55,0.7
消费贷A007383168,100915162,2040742,61.47,1.29
消费贷A005543579,74257626,11691301,3309.85,137.96
消费贷A004967218,72004920,7135444,33.62,0.8
消费贷A004967230,72005123,7135444,351.29,8.66
消费贷A004967234,72005196,7135444,115.10,2.84
消费贷A004263255,71060871,2096899,75.14,1.43
消费贷A004378870,71230809,2096899,45.57,0.86
消费贷A004546807,71474767,2096899,436.03,10.46
消费贷A004598340,71513854,2096899,74.49,1.77
消费贷A004751923,71726313,2096899,188.99,4.64
消费贷A004958081,71991379,2096899,136.10,3.33
消费贷A004991175,72036037,2096899,402.45,9.92
消费贷A005253616,72440242,2096899,58.79,1.11
消费贷A005412010,72787593,2096899,118.08,3.97
