借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A007354831,99540647,7381846,17.01,0.12
消费贷A007361559,99836490,7381846,33.86,0.37
消费贷A007367595,100109347,7381846,33.86,0.37
消费贷A007367863,100133755,7381846,33.86,0.37
消费贷A007373339,100390751,7381846,33.83,0.35
消费贷A007374019,100426300,7381846,67.15,1.17
消费贷A007376859,100581379,7381846,16.99,0.12
消费贷A007376976,100590090,7381846,67.15,1.17
消费贷A007381868,100852805,7381846,50.55,0.7
消费贷A005420309,72853943,11085302,23.36,0.22
消费贷A005449904,73128351,11085302,273.55,4.79
消费贷A005456822,73178141,11085302,136.82,2.39
消费贷A005412087,72789231,859,4.87,0.04
消费贷A005416480,72824651,859,5.61,0.05
消费贷A005429528,72926807,859,67.23,2.23
消费贷A005438188,73024060,859,140.71,6.09
消费贷A004958081,71991383,6896483,431.47,10.64
消费贷A005420264,72853770,4710796,17.51,0.16
消费贷A005468656,73269368,4710796,48.84,2.11
消费贷A005407655,72746385,7124116,41.98,1.2
消费贷A005408012,72749336,11066270,232.27,6.69
消费贷A004123584,70860959,10185706,13.91,0.25
消费贷A007372175,100328812,11714909,50.55,0.7
消费贷A007372882,100368653,11714909,16.99,0.12
消费贷A007373424,100395451,11714909,50.55,0.7
消费贷A007380677,100799715,11714909,50.55,0.7
消费贷A005421259,72861727,9967929,16.34,0.15
消费贷A005097790,72181317,1937438,93.15,0.91
消费贷A005453661,73159984,22067,321.21,12.72
消费贷A005431994,72955469,1369079,369.52,5.31
消费贷A005468736,73269583,5467,286.12,6.27
消费贷A005419681,72848005,11119838,27.29,0.89
消费贷A004352706,71192370,8662749,135.49,1.94
消费贷A005429538,72926877,4953188,45.33,0.43
消费贷A005482442,73390799,4953188,22.68,0.57
消费贷A005428629,72915629,11156740,31.35,1.04
消费贷A005426280,72899255,8489253,28.34,0.93
消费贷A005413387,72803365,7872333,42.65,0.4
消费贷A005385538,72666763,9679579,23.03,0.63
消费贷A004510742,71395365,4562971,274.54,6.59
消费贷A005463717,73231244,4562971,181.60,3.97
消费贷A004729392,71694697,10468996,18.41,0.42
消费贷A005412087,72789205,2498021,5.26,0.04
消费贷A005432240,72957552,15703,92.49,1.32
消费贷A004742815,71718195,2750498,19.72,0.46
消费贷A005471419,73299917,11338411,18.99,0.4
消费贷A005542469,74252272,11338411,87.04,0.68
消费贷A005417086,72832507,8057497,34.90,1.14
消费贷A005193319,72311710,10622311,183.08,4.39
消费贷A005410899,72773718,9243209,754.76,21.82
消费贷A005437066,73008524,2934051,100.95,1.44
消费贷A005437691,73016686,2934051,184.81,2.65
消费贷A005471344,73298957,3781144,20.41,0.42
消费贷A005485628,73421692,3781144,451.91,11.91
消费贷A005425057,72887411,9343326,92.90,0.88
消费贷A005466381,73252417,11328605,18.25,0.38
消费贷A007345510,99190738,6677159,250.67,5.96
消费贷A005415028,72812518,2897527,631.99,21.34
消费贷A007354203,99514704,6997102,17.01,0.12
消费贷A007366926,100081661,6997102,17.01,0.12
消费贷A007371807,100314753,6997102,50.55,0.7
消费贷A007372653,100354680,6997102,50.55,0.7
消费贷A007374787,100464910,6997102,67.15,1.17
消费贷A007376889,100582184,6997102,67.15,1.17
