借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A004379732,71225499,4545,163.71,3.15
消费贷A005500742,73567611,10386240,931.18,25.74
消费贷A004343547,71179280,6962096,152.14,2.92
消费贷A004410843,71273972,9425746,551.59,10.59
消费贷A004997335,72046238,9425746,18.44,0.44
消费贷A005327550,72559588,9425746,227.74,6.57
消费贷A005414852,72812203,9425746,543.79,18.36
消费贷A005427406,72905299,9425746,232.09,2.22
消费贷A005428790,72916583,9425746,69.71,0.66
消费贷A005432035,72955831,9425746,22.36,0.31
消费贷A005432767,72963778,9425746,157.95,6.09
消费贷A005436206,72998122,9425746,461.95,6.64
消费贷A005437449,73012877,9425746,231.67,3.32
消费贷A005443132,73070316,9425746,713.79,28.35
消费贷A005453507,73159754,9425746,278.19,4.88
消费贷A005430737,72940355,8703982,631.42,24.41
消费贷A005433165,72968101,8703982,451.53,6.49
消费贷A005433531,72971686,8703982,9.36,0.12
消费贷A005520614,73764672,8703982,2097.14,67.77
消费贷A004759639,71736869,9711579,187.56,4.61
消费贷A005208792,72341539,9711579,143.64,3.43
消费贷A005416609,72825824,9711579,441.60,14.9
消费贷A005428729,72916109,9711579,928.04,8.89
消费贷A005430096,72932528,9711579,18.19,0.25
消费贷A005430183,72933748,9711579,157.95,6.09
消费贷A005437415,73012234,9711579,46.33,0.66
消费贷A005438188,73024054,9711579,65.96,2.87
消费贷A005231196,72380141,246777,183.08,4.39
消费贷A005476254,73345763,246777,1598.85,70.7
消费贷A005476254,73345798,246777,564.53,24.96
消费贷A005468512,73268640,10469833,1089.18,23.9
消费贷A005468613,73268821,10469833,2209.29,97.74
消费贷A004850759,71858168,1515451,917.06,22.63
消费贷A005232410,72396437,1515451,455.32,13.15
消费贷A005415373,72814030,1515451,92.90,0.88
消费贷A005419471,72846264,1515451,92.90,0.88
消费贷A005423835,72880639,1515451,92.90,0.88
消费贷A005430705,72939869,1515451,184.81,2.65
消费贷A005434613,72981483,1515451,184.81,2.65
消费贷A005470459,73292890,1515451,1815.24,39.87
消费贷A005528238,73905608,1515451,1350.38,49.95
消费贷A005410563,72771368,7358002,1100.49,31.83
消费贷A005553493,74677251,6927769,356.38,4.23
