借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A007355394,99573303,11792561,19.95,0.22
消费贷A007367908,100136337,11792561,58.11,1.13
消费贷A007368118,100144863,11792561,3433.48,64.61
消费贷A007368806,100174035,11792561,33.83,0.35
消费贷A007369046,100185422,11792561,78.34,1.1
消费贷A007372412,100343603,11792561,53.86,0.57
消费贷A007372430,100343648,11792561,19.60,0.28
消费贷A005442636,73063855,2142244,2394.76,98.12
消费贷A007366855,100078519,1540112,1190.66,146.03
消费贷A007366855,100078569,1540112,77.50,2.74
消费贷A007370841,100266434,1540112,1603.95,17.05
消费贷A005404468,72727548,7487610,1259.18,45.04
消费贷A005477435,73358535,4919384,2573.43,120.29
消费贷A005501811,73577782,4919384,105.94,3.42
消费贷A007364680,99972618,11980962,1550,85.8
消费贷A007380851,100811010,11407547,1274.31,41.36
消费贷A005171478,72283264,552989,1726.16,60.61
消费贷A005426020,72895534,3584033,569.87,20.32
消费贷A005430594,72938750,3584033,227.16,1.98
消费贷A005431509,72949905,3584033,137.85,1.97
消费贷A005517005,73741159,3584033,1694.73,94.59
消费贷A005466262,73252018,11325627,2130.9,68.66
消费贷A005413092,72799538,8224868,1369.18,46.26
消费贷A005414525,72809143,8224868,603.01,20.35
消费贷A005415409,72813823,8224868,170.80,4.92
消费贷A005453857,73160401,8224868,13.96,0.24
消费贷A005522332,73779173,8224868,58.80,3.5
消费贷A005539035,74086341,8224868,31.55,1.12
消费贷A005540885,74165537,8224868,179.05,7.43
消费贷A005543240,74251194,8224868,35.88,1.44
消费贷A005545275,74333656,8224868,56.93,3.64
消费贷A005547672,74457089,8224868,8.76,0.06
消费贷A007369440,100201501,8224868,50.55,0.7
消费贷A007369615,100211663,8224868,50.55,0.7
消费贷A007374631,100453769,8224868,252.67,3.57
消费贷A007375863,100531613,8224868,16.99,0.12
消费贷A007376426,100560918,8224868,67.15,1.17
消费贷A007376426,100560921,8224868,67.15,1.17
消费贷A007376426,100560924,8224868,82.18,1.45
消费贷A005527313,73846147,11604113,3073.37,232.78
消费贷A005527333,73846267,11604113,145.62,5.39
消费贷A005418907,72841675,1966137,1613.72,138.98
消费贷A005426427,72899034,1966137,696.07,6.66
消费贷A005427403,72905261,1966137,1903.06,64.3
消费贷A005433936,72974907,1966137,3944.82,152.65
消费贷A007334624,98848263,7311431,3473.5,116.86
消费贷A005435933,72995935,11157634,225.48,24.41
消费贷A005456035,73172404,11157634,1579.36,27.71
消费贷A005535669,73983750,10588296,845.06,35.22
消费贷A005539761,74174603,10588296,8.77,0.06
消费贷A007344075,99137264,10588296,1392.28,11.02
消费贷A007344417,99148818,10588296,17.46,0.13
消费贷A007355542,99586494,10588296,1033.19,12.27
消费贷A007364049,99948418,10588296,552.90,8.76
消费贷A007369585,100208859,10588296,106.17,1.98
消费贷A005439463,73034563,1445949,671.03,23.85
消费贷A005442131,73059635,1445949,413.71,7.94
消费贷A005463192,73224626,1445949,454.93,20.13
消费贷A007366513,100067400,2764830,8.34,13.33
消费贷A007366513,100067417,2764830,33.86,0.37
消费贷A007369375,100198001,2764830,4008.94,75.43
消费贷A007369375,100198031,2764830,34.38,0.62
消费贷A007369403,100199320,2764830,33.83,0.35
消费贷A007369403,100199327,2764830,33.83,0.35
消费贷A007369487,100205676,2764830,3445.27,64.82
消费贷A007370109,100233036,2764830,34.38,0.62
消费贷A007370670,100263048,2764830,34.38,0.62
消费贷A007370706,100264289,2764830,171.72,3.2
消费贷A007370718,100264998,2764830,475.98,8.96
消费贷A005415568,72816085,4530289,260.52,18.44
消费贷A005416033,72820966,4530289,852.54,28.79
消费贷A005416643,72825963,4530289,129.15,1.23
消费贷A005419474,72846373,4530289,2866.31,96.89
消费贷A005423581,72875665,10059937,1585.27,15.67
消费贷A005423757,72879328,10059937,232.09,2.22
消费贷A005423747,72879605,10059937,23.46,0.22
消费贷A005423762,72879634,10059937,103.25,0.98
消费贷A005431099,72945385,10059937,299.55,4.31
消费贷A007374705,100458990,11960462,1939.21,56.7
消费贷A005433159,72968043,9343155,36.03,15.7
消费贷A005545127,74327509,9343155,35.88,1.44
消费贷A007335951,98891686,9343155,2435.17,58.13
消费贷A005447992,73116366,2633751,1673.65,51.59
消费贷A005540811,74163981,2633751,757.10,42.27
消费贷A007381498,100835584,7831607,3306.14,89.24
消费贷A007381596,100840270,7831607,1163.72,30.73
消费贷A005447355,73109303,10440927,807.87,57.86
消费贷A005449556,73126016,10440927,379.20,15.04
消费贷A005450452,73133527,10440927,151.51,2.64
消费贷A005459456,73203320,10440927,372.37,8.16
消费贷A005461040,73209637,10440927,635.41,13.93
消费贷A005464101,73233858,10440927,844.17,18.53
