借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A004123388,70858806,5754734,1742.27,33.49
消费贷A004619650,71553813,7497686,18.41,0.42
消费贷A004900174,71915318,7497686,1800.28,44.47
消费贷A004455092,71345951,5538029,2452.15,59.02
消费贷A005450239,73131887,1452805,273.55,4.79
消费贷A005460770,73208324,1452805,503.82,11.07
消费贷A005420649,72856146,7461424,3320.75,112.25
消费贷A005436552,73001299,5971880,2139.17,82.76
消费贷A007356672,99634486,1394254,580.36,4.35
消费贷A004751876,71724402,9811267,505.57,12.48
消费贷A005413444,72803814,5804520,407.87,13.76
消费贷A005415450,72814127,5804520,92.90,0.88
消费贷A005419654,72847765,5804520,92.90,0.88
消费贷A005427574,72907331,5804520,543.79,18.36
消费贷A005428094,72911186,5804520,139.30,1.33
消费贷A005428727,72915921,5804520,461.86,6.64
消费贷A005457539,73186170,5804520,756.06,30.06
消费贷A005457539,73186090,8237407,7810.08,310.6
消费贷A005457892,73186908,8237407,5445.57,119.62
消费贷A005474754,73330353,8237407,1653.64,51
消费贷A004443953,71306416,220627,13.91,0.25
消费贷A004535846,71431964,220627,18.41,0.42
消费贷A005193319,72311698,220627,183.08,4.39
消费贷A005506361,73628882,220627,50.02,1.61
消费贷A005232808,72413146,9597613,809.28,23.4
消费贷A005435230,72988755,8273557,494.04,19.08
消费贷A005495999,73527052,8273557,627.19,22.11
消费贷A007302724,98080990,8273557,25.95,0.39
消费贷A007336815,98915338,8273557,34.44,0.66
消费贷A007338482,98972833,8273557,85.68,2.01
消费贷A007342481,99093706,8273557,8.76,0.06
消费贷A007344575,99151558,8273557,8.76,0.06
消费贷A007344575,99151564,8273557,8.76,0.06
消费贷A007352513,99406369,8273557,8.76,0.06
消费贷A007352969,99421074,8273557,8.76,0.06
消费贷A007354264,99516471,8273557,52.04,0.61
消费贷A007354557,99524528,8273557,17.39,0.19
消费贷A007354557,99524533,8273557,52.04,0.61
消费贷A007356096,99614467,8273557,92.27,1.09
消费贷A005422483,72868573,3171002,93.83,0.89
消费贷A005434183,72977019,3171002,217.36,3.12
消费贷A005441599,73055718,3171002,101.81,1.94
消费贷A005444407,73083371,3171002,440.16,8.44
消费贷A005446422,73101565,3171002,71.55,1.24
消费贷A005463133,73223891,3171002,52.25,1.35
消费贷A005463133,73223902,3171002,24.72,0.63
消费贷A007340716,99044454,3171002,428.23,10.19
消费贷A007360398,99780613,3171002,33.86,0.37
消费贷A007362349,99870074,3171002,25.95,0.39
消费贷A007362978,99911339,3171002,169.19,1.89
消费贷A007363184,99919511,3171002,507.51,5.71
消费贷A007363184,99919542,3171002,169.19,1.89
消费贷A007366716,100074715,3171002,33.86,0.37
消费贷A007368103,100144678,3171002,34.38,0.62
消费贷A007368295,100154308,3171002,33.83,0.35
消费贷A007368591,100164493,3171002,34.38,0.62
消费贷A007368648,100164502,3171002,62.09,1.87
消费贷A004742825,71713399,799860,35.57,0.85
消费贷A004742826,71713435,799860,3438.13,84.91
消费贷A005428748,72916642,490451,45.84,0.43
消费贷A005460988,73209026,490451,199.08,6.98
消费贷A005528013,73864714,490451,128.49,4.74
消费贷A005412822,72799573,1465722,9.39,0.08
消费贷A005487022,73438894,1465722,22.68,0.57
消费贷A005528187,73897072,1465722,786.60,29.05
消费贷A005532542,73950835,1465722,183.66,8.48
