借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A005409352,72757010,8502401,1669.81,48.3
消费贷A007371377,100287795,7842935,1364.31,19.36
消费贷A007374755,100460667,7842935,252.67,3.57
消费贷A007375654,100507116,7842935,335.70,5.94
消费贷A007375654,100507120,7842935,671.38,11.91
消费贷A007376936,100585839,7842935,505.32,7.16
消费贷A007376936,100585846,7842935,505.32,7.16
消费贷A007381004,100817332,7842935,169.05,1.79
消费贷A007381004,100817336,7842935,676.13,7.18
消费贷A007381867,100853910,7842935,53.76,0.38
消费贷A005177914,72289005,2466855,914.88,22
消费贷A005269422,72465140,2466855,22.87,0.63
消费贷A005315100,72526652,2466855,910.56,26.32
消费贷A005378137,72648884,2466855,910.56,26.32
消费贷A005412178,72790119,2466855,92.90,0.88
消费贷A005421398,72862567,2466855,139.30,1.33
消费贷A005423702,72879107,2466855,185.70,1.77
消费贷A005424165,72879121,2466855,27.29,0.89
消费贷A005431841,72953711,2466855,529.17,10.16
消费贷A005429772,72929505,11148457,898.82,12.93
消费贷A005429794,72929627,11148457,117.74,1.12
消费贷A005429813,72929714,11148457,280.44,9.48
消费贷A005423243,72873511,2730028,4707.88,159.15
消费贷A005501739,73576466,9398405,1740.25,88.91
消费贷A007363314,99922791,12018876,786.55,5.89
消费贷A007368124,100145055,2351152,88.46,1.64
消费贷A007370484,100255603,2351152,66.27,0.92
消费贷A007371377,100287825,2351152,153.36,2.16
消费贷A007373231,100385009,2351152,142.88,2.67
消费贷A007373796,100415965,2351152,181.93,4.09
消费贷A007377110,100593107,2351152,472.73,17.84
消费贷A007377164,100602795,2351152,120.72,2.13
消费贷A007381898,100854222,2351152,89.10,1.56
消费贷A007382439,100889008,2351152,180.98,4.75
消费贷A007383939,100983546,2351152,287.74,8.66
消费贷A005418319,72837845,3545122,314.05,10.6
消费贷A004625923,71560733,6190155,567.59,10.91
消费贷A005410086,72765534,11065533,510.84,14.77
消费贷A007359703,99761023,7830626,413.72,3.1
消费贷A007370823,100268601,7830626,30.74,0.43
消费贷A007342683,99097443,8449174,935.92,7.4
消费贷A005447627,73111209,7003254,1784.14,70.93
消费贷A007374006,100426334,7003254,1445.18,32.66
消费贷A007368694,100165523,12003497,195.69,3.66
消费贷A007372513,100346663,12003497,181.09,3.39
消费贷A007381662,100844435,12003497,51.16,1.32
消费贷A007383988,100984367,12003497,130.93,3.93
消费贷A005413493,72805351,6314110,543.79,18.36
消费贷A005415461,72814158,6314110,256.98,8.69
消费贷A005417510,72833602,9484431,178.29,1.7
消费贷A005451151,73137320,9484431,1740.41,69.2
消费贷A007369835,100219431,11903146,412.04,7.74
