8502401,1669.81
7842935,4533.64
2466855,3733.23
11148457,1297
2730028,4707.88
9398405,1740.25
12018876,786.55
2351152,1784.17
3545122,314.05
6190155,567.59
11065533,510.84
7830626,444.46
8449174,935.92
7003254,3229.32
12003497,558.87
6314110,800.77
9484431,1918.7
11903146,748.43
4740200,251.36
6515776,163.71
4464736,1548.19
11157634,1804.84
12065940,486.56
6900805,4317.97
2329614,490.82
2258956,668.72
3018781,1257.28
7056477,4310.76
6513749,3667.66
3360777,1633.8
9212082,418.95
8009797,2729.98
8029253,1806.43
3779590,562.11
9229514,4104.28
3739760,3338.04
8449227,695.43
387144,10162.62
9745625,1156.72
11073767,689.48
10144981,1407.29
6693938,830.15
5839884,2135.91
11172093,2763.28
28761,562.2
3560557,2899.49
10422467,1169.87
468066,2714.41
1448051,417.99
1961078,3794.39
3567686,2433.13
4851770,3027.34
2545751,410.91
10314988,1815.76
418931,3487.33
6121514,2342.19
10108130,3613.34
7922939,366.21
9108492,1408.4
4764866,729.49
7192800,6245.39
4771014,1944.35
8775703,1441.72
4030633,436.75
4905171,520.7
5913799,1126.69
9808906,4942.86
8765477,3466.22
6614208,8099.53
9023534,675.68
3363999,963.63
3960975,389.81
5797100,494.04
1971366,3681.74
11994124,3265.38
11252758,1325.28
41152,451.56
8424516,2685.77
2637036,131.75
11787383,4095.83
465090,1159.22
10598503,1939.26
9554011,855.43
6300843,1134.94
2768100,1854.54
11305084,2174.55
6044814,4001.21
11046011,217.68
9680966,2403.71
6206601,1362.39
156893,5934.14
1700088,1157.95
11834455,2306.87
11990098,690.89
3808476,3262.21
3359961,249.17
7409818,2730.96
9062502,2076.56
11069508,138.67
2862279,4519.72
57583,4407.2
2910424,818.58
10723419,25802.57
628980,844.15
7880838,1296.03
5870937,654.49
7944573,2156.06
2517282,1120.69
7470461,969.12
3151165,452.64
11167162,1220.15
7283070,2331.86
7910761,113.35
3882285,180.19
3783983,1754.97
1455361,3456.79
11443639,570.3
3550505,2427.75
