借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
100起投，首信1号3818A000125168,58653449,17145,9.07,0.11
100起投，首信1号3831A000125181,58654647,17145,44.87,0.55
100起投，首信1号3832A000125193,58654696,17145,55.19,0.68
100起投，首信1号3902A000125554,58717257,17145,71.54,0.89
100起投，首信1号3908A000125560,58718017,17145,13.23,0.16
100起投，首信1号4157A000126340,58806446,17145,42.43,0.52
100起投，首信1号4304A000126987,58912680,17145,27.87,0.34
100起投，首信1号4306A000126989,58912801,17145,68.63,0.85
100起投，首信1号4623A000128036,59001571,17145,63.32,0.78
100起投，首信1号4733A000128330,59024139,17145,48.99,0.61
100起投，首信1号4880A000129203,59119644,17145,6.90,0.08
100起投，首信1号4899A000129227,59121712,17145,342.57,4.27
100起投，首信1号4899A000129227,59121727,17145,342.57,4.27
100起投，首信1号4901A000129229,59121996,17145,302.22,3.77
100起投，首信1号4922A000129262,59127168,17186,12.98,0.16
供应链A007382772,100892080,17193,54.63,0.43
供应链A007356009,99611878,17262,41.92,1.66
供应链A007360098,99804071,17266,6.76,0.27
供应链A007380721,100791460,17277,136.32,5.32
消费贷A001148509,65117022,17291,218.47,12.66
100起投，首信1号6087A000132864,59436300,17371,31.51,0.57
消费贷A000158590,61214908,17407,397.93,14.53
供应链A007370961,100273833,17714,18.89,0.34
消费贷A005379650,72734468,17769,48.83,4.97
供应链A007367958,100149183,17783,82.16,1.4
消费贷A007344954,99166860,17886,13.45,0.09
供应链A007366324,100073516,17944,10.26,0.41
消费贷A000214797,62358309,17954,19.91,0.94
供应链A007376757,100614188,17985,31.58,1.17
消费贷A000245737,62594705,18029,23.12,1.1
消费贷A005386204,72751164,18029,57.40,5.84
100起投，首信1号3658A000124597,58590049,18044,414.60,5.18
100起投，首信1号3991A000125777,58744888,18044,27.55,0.34
消费贷A000141897,60196137,18044,1270.67,31.46
供应链A007354800,99538733,18070,382.16,15.86
供应链A007383448,100912889,18188,9.55,0.16
消费贷A007349402,99309907,18220,8.39,0.06
消费贷A007345456,99187540,18227,6.96,0.05
消费贷A002970242,69179578,18256,48.77,3.89
供应链A007375980,100528676,18362,21.82,0.37
消费贷A000158629,61228526,18419,166.19,6.04
消费贷A000158428,61228563,18419,166.19,6.04
消费贷A000158659,61229928,18419,166.19,6.04
消费贷A000160500,61317602,18419,167.18,6.29
消费贷A000161123,61317612,18419,167.18,6.29
消费贷A000162001,61344529,18419,9.71,0.37
消费贷A000143325,60278914,18458,66.74,2.07
消费贷A003125338,69448852,18460,474.77,40.52
供应链A007367919,100144887,18493,34.57,0.59
消费贷A000208719,62091888,18525,12.42,0.46
消费贷A000157072,61106601,18527,718.26,26.23
供应链A007376227,100575477,18528,20.61,0.35
消费贷A007316729,98456812,18565,28.14,0.67
消费贷A003457455,69925706,18662,30.87,2.57
供应链A005537526,74086505,18700,178.60,14.28
供应链A005537526,74096163,18700,177.07,14.16
供应链A007362843,99905589,18700,48.58,1.92
供应链A007363769,99943064,18715,565.59,23.47
消费贷A003967360,70657946,18762,141.53,12.75
消费贷A004004119,70711972,18762,570.49,51.74
供应链A007376885,100581902,18765,721.18,5.86
消费贷A007351585,99372359,18830,108.94,3.48
供应链A007369111,100184204,18831,21.97,0.37
消费贷A000579592,63257181,18835,6.34,0.33
供应链A007360787,99798574,18972,369.22,15.32
个体经营贷A005468341,73269133,18978,60.25,6.55
100起投，首信1号5539A000131114,59288924,19016,203.54,3.68
个体经营贷A005462317,73223064,19016,0.79,0.04
供应链A007379583,100764720,19021,127.31,2.26
消费贷A002942177,69101483,19059,43.48,3.4
供应链A007376254,100551751,19059,100.00,1.7
供应链A007376247,100576450,19059,100.00,1.7
供应链A007376918,100644270,19059,100.00,1.7
供应链A007378311,100676455,19059,100.00,0.78
供应链A007379591,100806850,19059,100.00,1.7
供应链A007380752,100822331,19059,280.00,2.2
供应链A007382761,100903250,19059,100.00,0.78
消费贷A000212368,62236641,19193,32.82,1.16
供应链A007374432,100449540,19294,183.67,3.26
消费贷A007345066,99171564,19342,244.40,7.78
供应链A007375155,100483417,19350,36.34,0.65
消费贷A000159215,61277986,19377,53.37,1.93
100起投，首信1号5783A000131988,59350800,19405,105.44,1.91
供应链A007367267,100103395,19451,238.79,9.91
消费贷A000236924,62519494,19588,126.50,6.18
消费贷A000146793,60533913,19659,176.52,5.36
消费贷A000315275,62828133,19679,127.06,6.21
供应链A007368520,101111821,19831,1.07,0.02
供应链A007356011,99619585,19839,267.25,10.56
供应链A007368364,100160032,19884,280.21,10.93
供应链A007374422,100447407,19949,11.04,0.43
供应链A007360941,99802412,20113,40.25,1.67
供应链A007375442,100522339,20195,11.71,0.43
供应链A007374319,100440867,20247,439.65,17.15
供应链A007368517,100170545,20287,15.14,0.26
消费贷A000158121,61199912,20295,323.77,11.8
100起投，首信1号2906A000121944,58239142,20319,598.07,7.47
供应链A007360965,99807003,20472,177.32,7.36
供应链A007367913,100143274,20519,171.36,2.91
供应链A007357188,99681984,20526,1235.96,48.82
100起投，首信1号3190A000122816,58353890,20557,205.59,2.56
100起投，首信1号3489A000123911,58515667,20557,4.38,0.05
消费贷A000146494,60513786,20557,13.52,0.4
消费贷A000154503,60997393,20557,504.24,12.22
消费贷A000196009,62008724,20557,357.45,15.76
消费贷A000210819,62133588,20557,1039.47,52.58
消费贷A000212356,62218747,20557,740.37,34.9
消费贷A000230450,62501246,20557,3.22,0.16
消费贷A005333184,72693975,20588,12.31,1.25
消费贷A002072901,67307052,20652,375.65,25.85
供应链A005537418,74061372,20652,100.00,8
供应链A005554398,74711821,20652,100.00,8.5
